ID,gt
42_0,0
11_1,0
11_0,1
112_0,1
9_2,0
2_6,0
128_7,1
130_2,1
128_4,0
128_3,0
124_1,0
150_0,1
121_10,1
9_4,1
51_3,1
86_1,1
83_2,1
166_9,0
122_9,0
122_1,1
42_2,0
2_3,0
119_9,0
52_5,0
168_8,1
42_4,1
42_1,1
134_1,1
51_14,0
35_1,1
151_3,0
11_2,0
142_1,0
166_11,0
41_4,0
9_3,1
55_1,0
84_1,1
119_12,1
123_13,0
121_12,0
111_4,0
146_2,0
173_2,0
52_16,0
163_3,0
45_3,1
132_0,0
49_2,0
47_9,1
47_8,1
47_3,1
78_1,0
37_5,0
2_0,1
52_27,0
139_0,1
4_2,1
89_1,1
39_1,1
121_17,1
164_0,1
49_7,0
51_16,0
51_15,1
51_12,0
51_10,0
52_34,0
92_0,1
4_4,0
92_1,1
172_0,0
175_3,0
172_6,0
172_5,0
172_3,1
81_7,0
4_5,0
88_2,1
61_0,0
158_1,1
5_11,1
5_1,1
111_3,1
134_8,0
52_26,1
85_1,0
174_2,0
70_1,0
20_3,0
20_2,1
11_3,1
118_0,0
151_0,0
5_0,0
13_2,0
111_8,0
164_13,0
81_4,1
81_1,0
81_9,0
35_7,0
140_2,0
81_11,0
52_19,0
165_4,1
13_6,1
39_6,1
110_0,0
39_7,1
39_0,1
166_12,1
37_0,1
23_1,1
41_3,0
134_7,0
107_6,0
111_0,0
5_5,1
21_14,0
21_13,0
173_0,1
120_10,0
182_7,1
60_1,1
21_0,0
21_2,0
22_1,0
147_20,1
120_9,0
128_8,0
94_2,1
121_2,0
71_3,0
71_4,0
71_5,0
71_1,1
71_0,1
78_0,1
58_0,0
127_2,1
124_0,0
111_1,1
140_0,1
81_3,0
84_3,0
111_7,1
111_5,0
54_0,1
149_13,0
164_19,0
5_20,0
6_14,0
84_5,0
107_7,0
25_8,0
25_5,0
165_2,1
91_1,1
128_2,1
153_2,0
156_1,1
107_0,1
82_0,1
118_1,0
4_0,0
3_5,0
108_5,1
128_11,0
60_2,1
162_0,1
35_4,1
102_0,1
81_8,0
149_10,0
149_7,0
180_2,1
5_23,1
6_13,1
5_24,1
34_4,0
49_9,0
49_8,0
52_13,0
81_6,0
108_1,0
107_2,1
119_15,0
119_14,0
154_13,0
147_13,0
147_12,0
147_10,1
147_7,0
148_0,0
147_19,0
147_17,1
147_15,1
147_14,1
141_5,1
147_5,1
147_2,0
147_0,0
146_9,0
154_18,0
154_17,0
154_15,0
154_14,1
157_9,1
157_8,1
176_12,1
176_7,0
158_3,0
25_6,0
25_2,1
19_6,1
21_9,0
21_8,0
21_6,0
164_4,0
164_3,0
176_6,0
176_4,0
176_1,1
175_9,1
175_6,1
175_4,0
175_2,1
172_1,0
171_10,1
171_6,1
171_5,1
171_3,0
169_3,1
168_6,0
167_5,1
167_3,0
166_16,0
166_10,1
166_8,0
166_6,1
166_5,1
166_4,0
166_1,0
164_18,1
164_12,0
164_7,0
161_6,0
157_12,1
157_11,0
157_7,1
157_0,0
154_11,1
154_8,0
154_4,0
154_1,1
150_3,1
149_8,0
148_2,0
148_1,0
147_1,1
141_6,1
141_1,1
141_0,0
133_4,1
133_3,1
128_9,1
127_0,1
123_18,0
123_15,0
123_14,0
123_10,1
122_0,0
120_4,0
118_15,0
118_12,1
108_7,1
108_6,1
108_3,1
41_0,0
13_1,1
55_0,0
34_2,1
2_5,0
62_0,1
3_8,0
30_0,1
164_15,1
55_2,0
107_1,1
118_9,0
54_1,1
81_5,1
71_2,1
25_1,1
20_0,1
13_4,0
3_3,0
2_7,0
111_2,1
149_2,0
61_1,1
163_0,0
97_0,0
164_17,0
164_8,0
164_6,1
5_16,0
13_3,0
9_5,0
3_6,1
31_0,1
120_12,1
123_6,1
149_5,0
149_3,0
149_12,0
141_4,1
121_14,0
121_13,0
121_11,1
121_6,0
121_5,1
121_4,0
121_3,1
121_15,1
119_11,1
119_2,0
119_0,0
118_16,1
52_12,1
52_10,0
52_9,0
52_18,1
52_17,0
43_6,0
43_4,0
43_3,0
43_2,1
34_6,1
34_3,0
28_6,0
28_2,0
117_1,0
117_2,0
7_6,1
7_0,0
5_12,1
5_9,1
30_1,0
37_2,0
51_19,0
51_17,1
52_8,0
52_7,0
52_6,0
52_4,0
52_1,1
52_0,1
63_3,1
85_2,0
88_0,1
103_15,0
103_14,0
103_13,1
103_11,0
103_7,0
103_6,0
103_1,0
102_1,0
120_11,1
120_8,1
120_2,1
120_1,0
120_0,0
123_11,1
123_9,1
123_2,1
128_12,0
128_10,1
141_9,0
147_6,1
108_2,1
106_9,1
106_7,1
106_4,1
106_0,0
103_5,0
103_2,0
100_1,0
92_2,1
87_2,1
69_1,0
52_33,0
52_32,1
52_31,0
52_29,0
52_25,0
52_24,1
52_21,0
52_20,0
51_18,0
49_6,0
49_5,1
49_4,1
47_1,1
43_8,1
43_7,0
37_4,0
35_6,1
34_5,0
32_14,1
32_13,1
32_11,0
32_10,1
32_9,1
32_7,0
32_2,0
32_1,1
32_0,0
28_4,0
28_1,1
28_0,1
23_2,1
22_7,0
22_2,0
21_12,0
21_11,0
21_10,0
21_1,0
19_5,0
19_4,0
19_2,0
19_1,0
19_0,0
17_3,1
17_0,1
16_7,0
16_3,0
16_1,0
10_7,0
10_6,0
10_5,0
10_3,1
10_2,1
116_17,0
116_7,1
116_5,1
116_4,1
116_3,1
116_0,0
114_2,1
114_1,1
6_20,0
6_19,1
6_12,0
6_11,0
6_8,1
6_5,0
5_15,1
3_9,0
1_1,0
