fn_name,dataset,cost_ratio,class_fn,decision_fn,threshold,num_workers,workers_distribution,num_items,data_bal,cost,cost_std,recall,recall_std,precision,precision_std,loss,loss_std,f1,f1_std,fbeta,fbeta_std,wce,wce_std,fnc,fpc,ucc
adaptive_em,HITspam,0.1,majority_voting,decision_function_bayes,0.7,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,3.0,0.0,0.984,0.016,0.389,0.014,0.479,0.027,0.558,0.016,0.558,0.016,0.479,0.027,1,1,1
adaptive_em,HITspam,0.1,majority_voting,decision_function_bayes,0.8,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,6.731,0.549,0.974,0.024,0.395,0.023,0.469,0.043,0.561,0.024,0.561,0.024,0.469,0.043,1,1,1
adaptive_em,HITspam,0.1,majority_voting,decision_function_bayes,0.9,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,7.064,0.548,0.958,0.021,0.397,0.026,0.462,0.046,0.561,0.028,0.561,0.028,0.462,0.046,1,1,1
adaptive_em,HITspam,0.1,majority_voting,decision_function_bayes,0.95,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,7.982,0.648,0.971,0.03,0.39,0.018,0.475,0.03,0.557,0.022,0.557,0.022,0.475,0.03,1,1,1
adaptive_em,HITspam,0.05,majority_voting,decision_function_bayes,0.7,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,3.0,0.0,0.952,0.033,0.384,0.019,0.485,0.034,0.547,0.022,0.547,0.022,0.485,0.034,1,1,1
adaptive_em,HITspam,0.05,majority_voting,decision_function_bayes,0.8,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,8.067,0.884,0.971,0.027,0.395,0.019,0.466,0.034,0.561,0.022,0.561,0.022,0.466,0.034,1,1,1
adaptive_em,HITspam,0.05,majority_voting,decision_function_bayes,0.9,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,10.692,1.227,0.961,0.032,0.395,0.026,0.465,0.047,0.56,0.03,0.56,0.03,0.465,0.047,1,1,1
adaptive_em,HITspam,0.05,majority_voting,decision_function_bayes,0.95,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,12.158,1.678,0.984,0.016,0.387,0.022,0.485,0.048,0.556,0.022,0.556,0.022,0.485,0.048,1,1,1
adaptive_em,HITspam,0.02,majority_voting,decision_function_bayes,0.7,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,3.0,0.0,0.968,0.025,0.399,0.012,0.457,0.021,0.565,0.014,0.565,0.014,0.457,0.021,1,1,1
adaptive_em,HITspam,0.02,majority_voting,decision_function_bayes,0.8,2000,"U(0.5359906926813903,0.8453302308937968)",101,0.3069306930693069,8.482,0.926,0.974,0.028,0.395,0.013,0.467,0.026,0.562,0.013,0.562,0.013,0.467,0.026,1,1,1
