dataset,items,votes,loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
BarzanMozafari,1000,3,5,0.05,majority_voting,decision_function_bayes,0.491,0.5,150.0,0.0,0.672,0.045,0.773,0.019,0.768,0.015
BarzanMozafari,1000,5,5,0.05,majority_voting,decision_function_bayes,0.491,0.5,250.0,0.0,0.513,0.041,0.825,0.015,0.828,0.017
BarzanMozafari,1000,7,5,0.05,majority_voting,decision_function_bayes,0.491,0.5,350.0,0.0,0.419,0.041,0.857,0.015,0.859,0.018
BarzanMozafari,1000,10,5,0.05,majority_voting,decision_function_bayes,0.491,0.5,500.0,0.0,0.227,0.024,0.943,0.01,0.843,0.011
RTE,800,3,5,0.05,majority_voting,decision_function_bayes,0.5,0.5,120.0,0.0,0.232,0.036,0.922,0.013,0.927,0.009
RTE,800,5,5,0.05,majority_voting,decision_function_bayes,0.5,0.5,200.0,0.0,0.097,0.021,0.968,0.008,0.967,0.008
RTE,800,7,5,0.05,majority_voting,decision_function_bayes,0.5,0.5,280.0,0.0,0.051,0.018,0.983,0.007,0.982,0.004
RTE,800,10,5,0.05,majority_voting,decision_function_bayes,0.5,0.5,400.0,0.0,0.013,0.006,0.998,0.002,0.986,0.004
SpamCF,101,3,5,0.05,majority_voting,decision_function_bayes,0.3069306930693069,0.5,15.15,0.0,0.477,0.114,0.803,0.074,0.586,0.046
SpamCF,101,5,5,0.05,majority_voting,decision_function_bayes,0.3069306930693069,0.5,25.25,0.0,0.422,0.089,0.803,0.06,0.675,0.043
SpamCF,101,7,5,0.05,majority_voting,decision_function_bayes,0.3069306930693069,0.5,35.35,0.0,0.282,0.108,0.874,0.064,0.751,0.048
SpamCF,101,10,5,0.05,majority_voting,decision_function_bayes,0.3069306930693069,0.5,50.5,0.0,0.18,0.067,0.961,0.032,0.713,0.054
TEMP,462,3,5,0.05,majority_voting,decision_function_bayes,0.4393939393939394,0.5,69.3,0.0,0.179,0.039,0.935,0.017,0.919,0.017
TEMP,462,5,5,0.05,majority_voting,decision_function_bayes,0.4393939393939394,0.5,115.5,0.0,0.078,0.026,0.972,0.013,0.964,0.009
TEMP,462,7,5,0.05,majority_voting,decision_function_bayes,0.4393939393939394,0.5,161.7,0.0,0.041,0.02,0.985,0.008,0.98,0.008
TEMP,462,10,5,0.05,majority_voting,decision_function_bayes,0.4393939393939394,0.5,231.0,0.0,0.011,0.01,0.998,0.003,0.986,0.006
WVSCM,160,3,5,0.05,majority_voting,decision_function_bayes,0.3625,0.5,24.0,0.0,0.681,0.138,0.719,0.079,0.603,0.031
WVSCM,160,5,5,0.05,majority_voting,decision_function_bayes,0.3625,0.5,40.0,0.0,0.526,0.087,0.788,0.048,0.671,0.039
WVSCM,160,7,5,0.05,majority_voting,decision_function_bayes,0.3625,0.5,56.0,0.0,0.471,0.104,0.805,0.057,0.714,0.045
WVSCM,160,10,5,0.05,majority_voting,decision_function_bayes,0.3625,0.5,80.0,0.0,0.276,0.049,0.931,0.027,0.691,0.025
