loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
5,0.1,majority_voting,decision_function_em,0.5,0.7,453.318,7.369,0.206,0.027,0.939,0.011,0.899,0.012
5,0.1,majority_voting,decision_function_em,0.5,0.8,492.424,8.595,0.22,0.024,0.957,0.009,0.809,0.017
5,0.1,majority_voting,decision_function_em,0.5,0.9,354.378,3.955,0.296,0.037,0.93,0.014,0.795,0.014
5,0.1,majority_voting,decision_function_em,0.5,0.95,300.0,0.0,0.47,0.043,0.844,0.017,0.843,0.013
5,0.1,majority_voting,decision_function_em,0.3,0.7,453.844,8.233,0.167,0.026,0.94,0.016,0.788,0.018
5,0.1,majority_voting,decision_function_em,0.3,0.8,490.086,10.405,0.226,0.02,0.956,0.009,0.643,0.023
5,0.1,majority_voting,decision_function_em,0.3,0.9,353.26,3.955,0.276,0.031,0.929,0.018,0.621,0.017
5,0.1,majority_voting,decision_function_em,0.3,0.95,300.0,0.0,0.348,0.029,0.842,0.02,0.694,0.016
5,0.1,truth_finder_single,decision_function_em,0.5,0.7,300.0,0.0,0.461,0.042,0.847,0.016,0.845,0.016
5,0.1,truth_finder_single,decision_function_em,0.5,0.8,300.0,0.0,0.467,0.043,0.845,0.017,0.843,0.013
5,0.1,truth_finder_single,decision_function_em,0.5,0.9,300.0,0.0,0.478,0.039,0.839,0.014,0.846,0.015
5,0.1,truth_finder_single,decision_function_em,0.5,0.95,300.0,0.0,0.467,0.03,0.845,0.012,0.842,0.013
5,0.1,truth_finder_single,decision_function_em,0.3,0.7,300.0,0.0,0.346,0.027,0.842,0.016,0.698,0.02
5,0.1,truth_finder_single,decision_function_em,0.3,0.8,300.0,0.0,0.345,0.036,0.842,0.023,0.702,0.022
5,0.1,truth_finder_single,decision_function_em,0.3,0.9,300.0,0.0,0.347,0.033,0.842,0.021,0.697,0.019
5,0.1,truth_finder_single,decision_function_em,0.3,0.95,300.0,0.0,0.35,0.033,0.84,0.02,0.698,0.023
5,0.1,majority_voting,decision_function_bayes,0.5,0.7,300.0,0.0,0.475,0.041,0.841,0.016,0.844,0.013
5,0.1,majority_voting,decision_function_bayes,0.5,0.8,600.126,20.958,0.102,0.02,0.969,0.008,0.951,0.01
5,0.1,majority_voting,decision_function_bayes,0.5,0.9,693.436,22.932,0.08,0.016,0.978,0.006,0.952,0.012
5,0.1,majority_voting,decision_function_bayes,0.5,0.95,748.234,29.234,0.084,0.016,0.976,0.006,0.955,0.009
