loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std,f1,f1_std,fbeta,fbeta_std
5,0.1,majority_voting,decision_function_bayes,0.5,0.7,300.0,0.0,0.47,0.038,0.844,0.014,0.841,0.011,0.8424973293768545,0,0.8438842196716814,0
5,0.1,majority_voting,decision_function_bayes,0.5,0.8,572.41,24.633,0.124,0.018,0.96,0.007,0.954,0.012,0.9569905956112852,0,0.9597678355501813,0
5,0.1,majority_voting,decision_function_bayes,0.5,0.9,652.89,38.688,0.105,0.034,0.971,0.013,0.937,0.012,0.9536970649895179,0,0.9696467453680931,0
5,0.1,majority_voting,decision_function_bayes,0.5,0.95,666.74,27.611,0.115,0.026,0.971,0.008,0.919,0.014,0.9442846560846561,0,0.9688914223669924,0
5,0.1,truth_finder_single,decision_function_bayes,0.5,0.7,300.0,0.0,0.455,0.063,0.85,0.024,0.841,0.014,0.8454760496747488,0,0.8496502857142857,0
5,0.1,truth_finder_single,decision_function_bayes,0.5,0.8,583.76,14.239,0.132,0.02,0.957,0.008,0.952,0.016,0.9544934520691462,0,0.9568067213313406,0
5,0.1,truth_finder_single,decision_function_bayes,0.5,0.9,660.04,35.963,0.119,0.024,0.966,0.011,0.934,0.012,0.9497305263157896,0,0.9647287382793222,0
5,0.1,truth_finder_single,decision_function_bayes,0.5,0.95,668.24,25.597,0.11,0.013,0.974,0.006,0.917,0.009,0.9446409307244844,0,0.9716769739319637,0
5,0.1,majority_voting,decision_function_mv,0.5,0.7,459.692,8.023,0.205,0.032,0.937,0.012,0.91,0.013,0.923302652950731,0,0.9359319457930511,0
5,0.1,majority_voting,decision_function_mv,0.5,0.8,541.496,9.05,0.202,0.025,0.953,0.009,0.849,0.013,0.8979988901220864,0,0.9485310668229777,0
5,0.1,majority_voting,decision_function_mv,0.5,0.9,465.852,5.884,0.265,0.022,0.947,0.008,0.783,0.014,0.8572265895953757,0,0.9394321216255725,0
5,0.1,majority_voting,decision_function_mv,0.5,0.95,300.0,0.0,0.466,0.042,0.845,0.017,0.844,0.011,0.8444997039668442,0,0.8449614946457051,0
5,0.1,truth_finder_single,decision_function_mv,0.5,0.7,300.0,0.0,0.469,0.046,0.843,0.018,0.845,0.015,0.8439988151658767,0,0.8430767479970865,0
5,0.1,truth_finder_single,decision_function_mv,0.5,0.8,300.0,0.0,0.476,0.04,0.841,0.015,0.844,0.016,0.8424973293768545,0,0.8411149902009936,0
5,0.1,truth_finder_single,decision_function_mv,0.5,0.9,300.0,0.0,0.47,0.038,0.843,0.015,0.842,0.013,0.8424997032640948,0,0.8429614945416343,0
5,0.1,truth_finder_single,decision_function_mv,0.5,0.95,300.0,0.0,0.461,0.043,0.847,0.017,0.845,0.013,0.8459988179669031,0,0.8469229018751137,0
5,0.1,majority_voting,decision_function_em,0.5,0.7,452.24,8.364,0.2,0.029,0.941,0.011,0.898,0.011,0.9189972811310494,0,0.9392701466375956,0
5,0.1,majority_voting,decision_function_em,0.5,0.8,490.174,8.237,0.214,0.024,0.959,0.01,0.81,0.014,0.8782249858677218,0,0.9522627186571739,0
5,0.1,majority_voting,decision_function_em,0.5,0.9,352.954,3.939,0.306,0.037,0.926,0.014,0.793,0.014,0.8543548574752763,0,0.9200649607247846,0
5,0.1,majority_voting,decision_function_em,0.5,0.95,300.0,0.0,0.472,0.045,0.842,0.018,0.844,0.014,0.8429988137603796,0,0.8420767477896272,0
5,0.1,truth_finder_single,decision_function_em,0.5,0.7,300.0,0.0,0.477,0.041,0.841,0.015,0.842,0.015,0.8414997029114676,0,0.8410384176145448,0
5,0.1,truth_finder_single,decision_function_em,0.5,0.8,300.0,0.0,0.472,0.046,0.843,0.017,0.843,0.015,0.843,0,0.843,0
5,0.1,truth_finder_single,decision_function_em,0.5,0.9,300.0,0.0,0.463,0.036,0.846,0.014,0.844,0.014,0.8449988165680473,0,0.8459229016677299,0
5,0.1,truth_finder_single,decision_function_em,0.5,0.95,300.0,0.0,0.469,0.043,0.843,0.017,0.845,0.01,0.8439988151658767,0,0.8430767479970865,0
5,0.05,majority_voting,decision_function_bayes,0.5,0.7,150.0,0.0,0.471,0.046,0.843,0.02,0.844,0.01,0.8434997036158861,0,0.8430384177186346,0
5,0.05,truth_finder_single,decision_function_bayes,0.5,0.7,150.0,0.0,0.471,0.046,0.843,0.02,0.844,0.01,0.8434997036158861,0,0.8430384177186346,0
