loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
5,0.1,majority_voting,decision_function_em,0.5,0.5,300.0,0.0,0.441,0.031,0.854,0.012,0.85,0.014
5,0.1,majority_voting,decision_function_em,0.5,0.6,300.0,0.0,0.46,0.032,0.847,0.014,0.846,0.012
5,0.1,majority_voting,decision_function_em,0.5,0.7,360.63,2.4,0.373,0.033,0.881,0.013,0.854,0.013
5,0.1,majority_voting,decision_function_em,0.5,0.8,421.71,4.868,0.338,0.024,0.904,0.008,0.825,0.013
5,0.1,majority_voting,decision_function_em,0.5,0.9,418.176,5.041,0.332,0.027,0.92,0.01,0.791,0.012
5,0.05,majority_voting,decision_function_em,0.5,0.5,150.0,0.0,0.472,0.046,0.843,0.018,0.844,0.012
5,0.05,majority_voting,decision_function_em,0.5,0.6,150.0,0.0,0.468,0.035,0.844,0.014,0.844,0.013
5,0.05,majority_voting,decision_function_em,0.5,0.7,192.771,2.912,0.385,0.033,0.876,0.013,0.854,0.014
5,0.05,majority_voting,decision_function_em,0.5,0.8,253.69,4.944,0.325,0.036,0.906,0.013,0.838,0.013
5,0.05,majority_voting,decision_function_em,0.5,0.9,273.174,5.614,0.326,0.031,0.92,0.012,0.8,0.013
5,0.1,majority_voting,decision_function_em,0.3,0.5,300.0,0.0,0.341,0.033,0.844,0.02,0.702,0.021
5,0.1,majority_voting,decision_function_em,0.3,0.6,300.0,0.0,0.341,0.035,0.846,0.023,0.701,0.022
5,0.1,majority_voting,decision_function_em,0.3,0.7,360.773,2.871,0.286,0.028,0.88,0.016,0.715,0.021
5,0.1,majority_voting,decision_function_em,0.3,0.8,426.721,4.763,0.281,0.027,0.904,0.016,0.673,0.018
5,0.1,majority_voting,decision_function_em,0.3,0.9,427.692,5.074,0.3,0.026,0.921,0.013,0.631,0.018
5,0.05,majority_voting,decision_function_em,0.3,0.5,150.0,0.0,0.342,0.028,0.845,0.019,0.697,0.016
5,0.05,majority_voting,decision_function_em,0.3,0.6,150.0,0.0,0.342,0.026,0.845,0.016,0.698,0.017
5,0.05,majority_voting,decision_function_em,0.3,0.7,192.662,3.23,0.283,0.024,0.881,0.016,0.718,0.019
5,0.05,majority_voting,decision_function_em,0.3,0.8,265.518,5.509,0.269,0.025,0.904,0.015,0.69,0.017
5,0.05,majority_voting,decision_function_em,0.3,0.9,286.068,5.987,0.293,0.024,0.92,0.013,0.642,0.017
5,0.1,majority_voting,decision_function_em,0.1,0.5,300.0,0.0,0.22,0.02,0.839,0.036,0.376,0.019
5,0.1,majority_voting,decision_function_em,0.1,0.6,300.0,0.0,0.219,0.022,0.842,0.037,0.377,0.022
5,0.1,majority_voting,decision_function_em,0.1,0.7,361.701,3.382,0.196,0.017,0.88,0.028,0.394,0.019
5,0.1,majority_voting,decision_function_em,0.1,0.8,430.541,5.156,0.222,0.018,0.904,0.027,0.357,0.017
5,0.1,majority_voting,decision_function_em,0.1,0.9,435.293,5.518,0.274,0.017,0.92,0.02,0.322,0.015
5,0.05,majority_voting,decision_function_em,0.1,0.5,150.0,0.0,0.22,0.02,0.842,0.034,0.375,0.018
5,0.05,majority_voting,decision_function_em,0.1,0.6,150.0,0.0,0.218,0.02,0.846,0.033,0.376,0.021
5,0.05,majority_voting,decision_function_em,0.1,0.7,194.444,2.684,0.193,0.018,0.879,0.033,0.4,0.019
5,0.05,majority_voting,decision_function_em,0.1,0.8,274.212,5.841,0.208,0.018,0.904,0.027,0.373,0.019
5,0.05,majority_voting,decision_function_em,0.1,0.9,300.61,6.294,0.261,0.017,0.922,0.024,0.334,0.015
5,0.1,truth_finder_single,decision_function_em,0.5,0.5,300.0,0.0,0.477,0.037,0.841,0.014,0.842,0.014
5,0.1,truth_finder_single,decision_function_em,0.5,0.6,300.0,0.0,0.459,0.04,0.848,0.016,0.844,0.012
5,0.1,truth_finder_single,decision_function_em,0.5,0.7,300.0,0.0,0.467,0.036,0.844,0.014,0.845,0.013
5,0.1,truth_finder_single,decision_function_em,0.5,0.8,300.0,0.0,0.469,0.038,0.843,0.015,0.845,0.013
5,0.1,truth_finder_single,decision_function_em,0.5,0.9,300.0,0.0,0.468,0.04,0.845,0.016,0.842,0.012
5,0.05,truth_finder_single,decision_function_em,0.5,0.5,150.0,0.0,0.464,0.039,0.845,0.015,0.846,0.013
5,0.05,truth_finder_single,decision_function_em,0.5,0.6,150.0,0.0,0.478,0.04,0.84,0.016,0.843,0.012
5,0.05,truth_finder_single,decision_function_em,0.5,0.7,150.0,0.0,0.467,0.037,0.844,0.015,0.845,0.013
5,0.05,truth_finder_single,decision_function_em,0.5,0.8,150.0,0.0,0.472,0.037,0.843,0.014,0.843,0.014
5,0.05,truth_finder_single,decision_function_em,0.5,0.9,150.0,0.0,0.475,0.039,0.841,0.015,0.844,0.014
