loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
5,0.1,majority_voting,decision_function_mv,0.5,0.5,300.0,0.0,0.479,0.031,0.841,0.013,0.837,0.011
5,0.1,majority_voting,decision_function_mv,0.5,0.6,300.0,0.0,0.479,0.051,0.841,0.02,0.839,0.012
5,0.1,majority_voting,decision_function_mv,0.5,0.7,354.053,1.181,0.385,0.033,0.878,0.013,0.847,0.013
5,0.1,majority_voting,decision_function_mv,0.5,0.8,397.128,2.3,0.335,0.027,0.906,0.01,0.822,0.012
5,0.1,majority_voting,decision_function_mv,0.5,0.9,414.31,4.967,0.333,0.027,0.921,0.011,0.786,0.012
5,0.05,majority_voting,decision_function_mv,0.5,0.5,150.0,0.0,0.478,0.034,0.841,0.013,0.842,0.013
5,0.05,majority_voting,decision_function_mv,0.5,0.6,150.0,0.0,0.463,0.037,0.847,0.015,0.84,0.011
5,0.05,majority_voting,decision_function_mv,0.5,0.7,187.196,2.342,0.381,0.029,0.878,0.012,0.852,0.013
5,0.05,majority_voting,decision_function_mv,0.5,0.8,230.631,3.397,0.335,0.034,0.903,0.013,0.833,0.011
5,0.05,majority_voting,decision_function_mv,0.5,0.9,241.517,4.355,0.329,0.028,0.919,0.011,0.798,0.011
5,0.1,majority_voting,decision_function_mv,0.3,0.5,300.0,0.0,0.341,0.033,0.845,0.02,0.701,0.018
5,0.1,majority_voting,decision_function_mv,0.3,0.6,300.0,0.0,0.352,0.03,0.839,0.019,0.697,0.02
5,0.1,majority_voting,decision_function_mv,0.3,0.7,352.206,2.241,0.295,0.028,0.878,0.017,0.702,0.018
5,0.1,majority_voting,decision_function_mv,0.3,0.8,399.249,3.975,0.288,0.024,0.904,0.014,0.664,0.017
5,0.1,majority_voting,decision_function_mv,0.3,0.9,412.799,4.949,0.308,0.025,0.921,0.014,0.622,0.016
5,0.05,majority_voting,decision_function_mv,0.3,0.5,150.0,0.0,0.334,0.032,0.85,0.021,0.703,0.019
5,0.05,majority_voting,decision_function_mv,0.3,0.6,150.0,0.0,0.347,0.029,0.843,0.018,0.695,0.018
5,0.05,majority_voting,decision_function_mv,0.3,0.7,186.733,2.215,0.286,0.026,0.88,0.016,0.715,0.017
5,0.05,majority_voting,decision_function_mv,0.3,0.8,231.367,3.967,0.274,0.024,0.904,0.014,0.683,0.017
5,0.05,majority_voting,decision_function_mv,0.3,0.9,241.788,4.187,0.297,0.024,0.921,0.014,0.635,0.015
5,0.1,majority_voting,decision_function_mv,0.1,0.5,300.0,0.0,0.217,0.019,0.847,0.038,0.376,0.016
5,0.1,majority_voting,decision_function_mv,0.1,0.6,300.0,0.0,0.218,0.022,0.844,0.041,0.377,0.021
5,0.1,majority_voting,decision_function_mv,0.1,0.7,352.463,2.68,0.208,0.019,0.873,0.031,0.377,0.019
5,0.1,majority_voting,decision_function_mv,0.1,0.8,398.844,3.52,0.231,0.017,0.905,0.024,0.348,0.018
5,0.1,majority_voting,decision_function_mv,0.1,0.9,412.345,4.905,0.284,0.016,0.921,0.02,0.31,0.014
5,0.05,majority_voting,decision_function_mv,0.1,0.5,150.0,0.0,0.22,0.022,0.842,0.036,0.376,0.02
5,0.05,majority_voting,decision_function_mv,0.1,0.6,150.0,0.0,0.217,0.022,0.844,0.037,0.379,0.022
5,0.05,majority_voting,decision_function_mv,0.1,0.7,185.774,1.695,0.195,0.02,0.878,0.03,0.397,0.024
5,0.05,majority_voting,decision_function_mv,0.1,0.8,230.608,3.55,0.217,0.017,0.902,0.025,0.363,0.018
5,0.05,majority_voting,decision_function_mv,0.1,0.9,241.199,4.499,0.269,0.018,0.918,0.026,0.327,0.016
5,0.1,truth_finder_single,decision_function_mv,0.5,0.5,300.0,0.0,0.466,0.045,0.844,0.018,0.849,0.014
5,0.1,truth_finder_single,decision_function_mv,0.5,0.6,300.0,0.0,0.479,0.04,0.84,0.016,0.842,0.013
5,0.1,truth_finder_single,decision_function_mv,0.5,0.7,300.0,0.0,0.467,0.041,0.845,0.015,0.843,0.013
5,0.1,truth_finder_single,decision_function_mv,0.5,0.8,300.0,0.0,0.465,0.04,0.845,0.016,0.846,0.013
5,0.1,truth_finder_single,decision_function_mv,0.5,0.9,300.0,0.0,0.468,0.041,0.844,0.016,0.843,0.013
5,0.05,truth_finder_single,decision_function_mv,0.5,0.5,150.0,0.0,0.471,0.048,0.844,0.02,0.841,0.012
5,0.05,truth_finder_single,decision_function_mv,0.5,0.6,150.0,0.0,0.469,0.041,0.844,0.016,0.843,0.015
5,0.05,truth_finder_single,decision_function_mv,0.5,0.7,150.0,0.0,0.471,0.042,0.843,0.017,0.844,0.013
5,0.05,truth_finder_single,decision_function_mv,0.5,0.8,150.0,0.0,0.472,0.039,0.842,0.015,0.845,0.012
5,0.05,truth_finder_single,decision_function_mv,0.5,0.9,150.0,0.0,0.472,0.039,0.842,0.015,0.844,0.013
5,0.1,truth_finder_single,decision_function_mv,0.3,0.5,300.0,0.0,0.344,0.024,0.842,0.015,0.704,0.019
5,0.1,truth_finder_single,decision_function_mv,0.3,0.6,300.0,0.0,0.34,0.029,0.846,0.02,0.698,0.018
5,0.1,truth_finder_single,decision_function_mv,0.3,0.7,300.0,0.0,0.345,0.029,0.843,0.018,0.699,0.018
5,0.1,truth_finder_single,decision_function_mv,0.3,0.8,300.0,0.0,0.34,0.032,0.846,0.019,0.699,0.02
5,0.1,truth_finder_single,decision_function_mv,0.3,0.9,300.0,0.0,0.346,0.033,0.843,0.02,0.697,0.019
5,0.05,truth_finder_single,decision_function_mv,0.3,0.5,150.0,0.0,0.348,0.026,0.84,0.018,0.701,0.017
5,0.05,truth_finder_single,decision_function_mv,0.3,0.6,150.0,0.0,0.34,0.03,0.847,0.019,0.698,0.018
5,0.05,truth_finder_single,decision_function_mv,0.3,0.7,150.0,0.0,0.347,0.034,0.842,0.022,0.696,0.019
5,0.05,truth_finder_single,decision_function_mv,0.3,0.8,150.0,0.0,0.34,0.03,0.846,0.019,0.7,0.019
5,0.05,truth_finder_single,decision_function_mv,0.3,0.9,150.0,0.0,0.341,0.029,0.845,0.017,0.7,0.019
5,0.1,truth_finder_single,decision_function_mv,0.1,0.5,300.0,0.0,0.221,0.02,0.843,0.033,0.373,0.021
5,0.1,truth_finder_single,decision_function_mv,0.1,0.6,300.0,0.0,0.216,0.021,0.846,0.039,0.378,0.019
5,0.1,truth_finder_single,decision_function_mv,0.1,0.7,300.0,0.0,0.217,0.02,0.844,0.033,0.379,0.021
5,0.1,truth_finder_single,decision_function_mv,0.1,0.8,300.0,0.0,0.219,0.02,0.844,0.034,0.376,0.021
5,0.1,truth_finder_single,decision_function_mv,0.1,0.9,300.0,0.0,0.217,0.021,0.845,0.037,0.377,0.02
5,0.05,truth_finder_single,decision_function_mv,0.1,0.5,150.0,0.0,0.218,0.022,0.846,0.033,0.376,0.023
5,0.05,truth_finder_single,decision_function_mv,0.1,0.6,150.0,0.0,0.218,0.019,0.845,0.034,0.376,0.019
5,0.05,truth_finder_single,decision_function_mv,0.1,0.7,150.0,0.0,0.218,0.021,0.844,0.033,0.377,0.022
5,0.05,truth_finder_single,decision_function_mv,0.1,0.8,150.0,0.0,0.216,0.019,0.85,0.031,0.377,0.02
5,0.05,truth_finder_single,decision_function_mv,0.1,0.9,150.0,0.0,0.221,0.018,0.838,0.03,0.375,0.019
