loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
5,0.05,majority_voting,decision_function_bayes,0.3,0.7,150.0,0.0,0.338,0.032,0.844,0.019,0.709,0.014
5,0.05,truth_finder_single,decision_function_bayes,0.3,0.7,150.0,0.0,0.338,0.032,0.844,0.019,0.709,0.014
5,0.05,majority_voting,decision_function_bayes,0.3,0.8,305.28,11.312,0.067,0.017,0.969,0.01,0.933,0.015
5,0.05,truth_finder_single,decision_function_bayes,0.3,0.8,305.28,11.312,0.067,0.017,0.969,0.01,0.933,0.015
5,0.05,majority_voting,decision_function_bayes,0.3,0.9,387.135,16.912,0.04,0.01,0.982,0.006,0.955,0.012
5,0.05,truth_finder_single,decision_function_bayes,0.3,0.9,387.135,16.912,0.04,0.01,0.982,0.006,0.955,0.012
5,0.05,majority_voting,decision_function_bayes,0.3,0.95,449.67,20.436,0.045,0.009,0.98,0.007,0.954,0.013
5,0.05,truth_finder_single,decision_function_bayes,0.3,0.95,449.67,20.436,0.045,0.009,0.98,0.007,0.954,0.013
5,0.1,majority_voting,decision_function_bayes,0.3,0.7,300.0,0.0,0.341,0.028,0.848,0.017,0.692,0.016
5,0.1,truth_finder_single,decision_function_bayes,0.3,0.7,300.0,0.0,0.341,0.028,0.848,0.017,0.692,0.016
5,0.1,majority_voting,decision_function_bayes,0.3,0.8,581.97,17.825,0.109,0.018,0.948,0.011,0.904,0.02
5,0.1,truth_finder_single,decision_function_bayes,0.3,0.8,581.97,17.825,0.109,0.018,0.948,0.011,0.904,0.02
5,0.1,majority_voting,decision_function_bayes,0.3,0.9,634.85,42.634,0.104,0.025,0.958,0.015,0.874,0.016
5,0.1,truth_finder_single,decision_function_bayes,0.3,0.9,634.85,42.634,0.104,0.025,0.958,0.015,0.874,0.016
5,0.1,majority_voting,decision_function_bayes,0.3,0.95,673.8,25.43,0.101,0.01,0.971,0.009,0.834,0.022
5,0.1,truth_finder_single,decision_function_bayes,0.3,0.95,673.8,25.43,0.101,0.01,0.971,0.009,0.834,0.022
5,0.05,majority_voting,decision_function_bayes,0.1,0.7,150.0,0.0,0.22,0.023,0.843,0.04,0.373,0.021
5,0.05,truth_finder_single,decision_function_bayes,0.1,0.7,150.0,0.0,0.22,0.023,0.843,0.04,0.373,0.021
5,0.05,majority_voting,decision_function_bayes,0.1,0.8,312.44,15.2,0.044,0.012,0.974,0.016,0.759,0.05
5,0.05,truth_finder_single,decision_function_bayes,0.1,0.8,312.44,15.2,0.044,0.012,0.974,0.016,0.759,0.05
5,0.05,majority_voting,decision_function_bayes,0.1,0.9,385.24,15.94,0.031,0.004,0.981,0.008,0.822,0.028
5,0.05,truth_finder_single,decision_function_bayes,0.1,0.9,385.24,15.94,0.031,0.004,0.981,0.008,0.822,0.028
5,0.05,majority_voting,decision_function_bayes,0.1,0.95,433.325,21.522,0.029,0.008,0.985,0.014,0.819,0.018
5,0.05,truth_finder_single,decision_function_bayes,0.1,0.95,433.325,21.522,0.029,0.008,0.985,0.014,0.819,0.018
5,0.1,majority_voting,decision_function_bayes,0.1,0.7,300.0,0.0,0.216,0.011,0.862,0.022,0.369,0.013
5,0.1,truth_finder_single,decision_function_bayes,0.1,0.7,300.0,0.0,0.216,0.011,0.862,0.022,0.369,0.013
5,0.1,majority_voting,decision_function_bayes,0.1,0.8,571.47,27.061,0.065,0.028,0.967,0.016,0.681,0.091
5,0.1,truth_finder_single,decision_function_bayes,0.1,0.8,571.47,27.061,0.065,0.028,0.967,0.016,0.681,0.091
5,0.1,majority_voting,decision_function_bayes,0.1,0.9,635.72,38.324,0.07,0.022,0.97,0.02,0.645,0.065
5,0.1,truth_finder_single,decision_function_bayes,0.1,0.9,635.72,38.324,0.07,0.022,0.97,0.02,0.645,0.065
5,0.1,majority_voting,decision_function_bayes,0.1,0.95,669.93,23.579,0.093,0.009,0.964,0.021,0.562,0.019
5,0.1,truth_finder_single,decision_function_bayes,0.1,0.95,669.93,23.579,0.093,0.009,0.964,0.021,0.562,0.019
