loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std
5,0.1,majority_voting,decision_function_bayes,0.5,0.7,300.0,0.0,0.47,0.038,0.844,0.014,0.841,0.011
5,0.1,majority_voting,decision_function_bayes,0.5,0.8,572.41,24.633,0.124,0.018,0.96,0.007,0.954,0.012
5,0.1,majority_voting,decision_function_bayes,0.5,0.9,652.89,38.688,0.105,0.034,0.971,0.013,0.937,0.012
5,0.1,majority_voting,decision_function_bayes,0.5,0.95,666.74,27.611,0.115,0.026,0.971,0.008,0.919,0.014
5,0.1,truth_finder_single,decision_function_bayes,0.5,0.7,300.0,0.0,0.455,0.063,0.85,0.024,0.841,0.014
5,0.1,truth_finder_single,decision_function_bayes,0.5,0.8,583.76,14.239,0.132,0.02,0.957,0.008,0.952,0.016
5,0.1,truth_finder_single,decision_function_bayes,0.5,0.9,660.04,35.963,0.119,0.024,0.966,0.011,0.934,0.012
5,0.1,truth_finder_single,decision_function_bayes,0.5,0.95,668.24,25.597,0.11,0.013,0.974,0.006,0.917,0.009
5,0.1,majority_voting,decision_function_mv,0.5,0.7,459.692,8.023,0.205,0.032,0.937,0.012,0.91,0.013
5,0.1,majority_voting,decision_function_mv,0.5,0.8,541.496,9.05,0.202,0.025,0.953,0.009,0.849,0.013
5,0.1,majority_voting,decision_function_mv,0.5,0.9,465.852,5.884,0.265,0.022,0.947,0.008,0.783,0.014
5,0.1,majority_voting,decision_function_mv,0.5,0.95,300.0,0.0,0.466,0.042,0.845,0.017,0.844,0.011
5,0.1,truth_finder_single,decision_function_mv,0.5,0.7,300.0,0.0,0.469,0.046,0.843,0.018,0.845,0.015
5,0.1,truth_finder_single,decision_function_mv,0.5,0.8,300.0,0.0,0.476,0.04,0.841,0.015,0.844,0.016
5,0.1,truth_finder_single,decision_function_mv,0.5,0.9,300.0,0.0,0.47,0.038,0.843,0.015,0.842,0.013
5,0.1,truth_finder_single,decision_function_mv,0.5,0.95,300.0,0.0,0.461,0.043,0.847,0.017,0.845,0.013
5,0.1,majority_voting,decision_function_em,0.5,0.7,452.24,8.364,0.2,0.029,0.941,0.011,0.898,0.011
5,0.1,majority_voting,decision_function_em,0.5,0.8,490.174,8.237,0.214,0.024,0.959,0.01,0.81,0.014
5,0.1,majority_voting,decision_function_em,0.5,0.9,352.954,3.939,0.306,0.037,0.926,0.014,0.793,0.014
5,0.1,majority_voting,decision_function_em,0.5,0.95,300.0,0.0,0.472,0.045,0.842,0.018,0.844,0.014
5,0.1,truth_finder_single,decision_function_em,0.5,0.7,300.0,0.0,0.477,0.041,0.841,0.015,0.842,0.015
5,0.1,truth_finder_single,decision_function_em,0.5,0.8,300.0,0.0,0.472,0.046,0.843,0.017,0.843,0.015
5,0.1,truth_finder_single,decision_function_em,0.5,0.9,300.0,0.0,0.463,0.036,0.846,0.014,0.844,0.014
5,0.1,truth_finder_single,decision_function_em,0.5,0.95,300.0,0.0,0.469,0.043,0.843,0.017,0.845,0.01
5,0.05,majority_voting,decision_function_bayes,0.5,0.7,150.0,0.0,0.471,0.046,0.843,0.02,0.844,0.01
5,0.05,truth_finder_single,decision_function_bayes,0.5,0.7,150.0,0.0,0.471,0.046,0.843,0.02,0.844,0.01
5,0.05,majority_voting,decision_function_bayes,0.5,0.8,320.65,16.056,0.085,0.015,0.972,0.006,0.969,0.006
5,0.05,truth_finder_single,decision_function_bayes,0.5,0.8,320.65,16.056,0.085,0.015,0.972,0.006,0.969,0.006
5,0.05,majority_voting,decision_function_bayes,0.5,0.9,383.095,19.953,0.064,0.023,0.98,0.009,0.972,0.007
5,0.05,truth_finder_single,decision_function_bayes,0.5,0.9,383.095,19.953,0.064,0.023,0.98,0.009,0.972,0.007
5,0.05,majority_voting,decision_function_bayes,0.5,0.95,441.755,21.413,0.057,0.012,0.981,0.005,0.98,0.004
5,0.05,truth_finder_single,decision_function_bayes,0.5,0.95,441.755,21.413,0.057,0.012,0.981,0.005,0.98,0.004
5,0.05,majority_voting,decision_function_mv,0.5,0.7,260.645,7.836,0.176,0.029,0.942,0.011,0.936,0.011
5,0.05,majority_voting,decision_function_mv,0.5,0.8,364.95,7.872,0.156,0.023,0.959,0.009,0.901,0.013
5,0.05,majority_voting,decision_function_mv,0.5,0.9,280.902,6.75,0.256,0.025,0.943,0.009,0.806,0.015
5,0.05,majority_voting,decision_function_mv,0.5,0.95,232.141,5.178,0.284,0.026,0.937,0.01,0.788,0.013
5,0.05,majority_voting,decision_function_mv,0.3,0.7,260.68,7.085,0.134,0.023,0.942,0.014,0.857,0.016
5,0.05,majority_voting,decision_function_mv,0.3,0.8,366.82,8.57,0.131,0.019,0.962,0.011,0.797,0.019
5,0.05,majority_voting,decision_function_mv,0.3,0.9,280.318,6.606,0.236,0.024,0.947,0.013,0.644,0.016
5,0.05,majority_voting,decision_function_mv,0.3,0.95,231.558,4.263,0.263,0.022,0.941,0.012,0.619,0.017
5,0.05,truth_finder_single,decision_function_mv,0.5,0.7,150.0,0.0,0.471,0.042,0.842,0.016,0.845,0.014
5,0.05,truth_finder_single,decision_function_mv,0.5,0.8,150.0,0.0,0.461,0.044,0.847,0.017,0.845,0.016
5,0.05,truth_finder_single,decision_function_mv,0.5,0.9,150.0,0.0,0.472,0.045,0.843,0.018,0.843,0.013
